job_title,job_description,requirements
"Director of Artificial Intelligence","Design and execute a comprehensive data strategy that aligns with R&D and business goals, with a particular emphasis on strengthening preclinical capabilities. Establish data architecture and infrastructure requirements to meet both present and future demands, incorporating advanced AI and ML technologies. Oversee the acquisition, storage, processing, and analysis of both structured and unstructured data from various internal and external sources. Lead initiatives to enhance data quality, consistency, and accessibility across the organization, ensuring seamless integration of AI and ML tools. Drive the extraction of actionable insights from data by leveraging advanced analytics, machine learning, and data visualization, supporting and accelerating drug discovery and development. Collaborate with executive leadership, R&D, IT and business stakeholders to uncover opportunities for data and AI/ML to fuel growth, boost operational efficiency, and improve research outcomes. Develop and share data-driven recommendations and AI/ML insights with key stakeholders to support strategic decision-making in both preclinical and clinical research. Build and lead a high-performing team of data professionals, including consultants, AI/ML specialists, and bioinformaticians, to achieve organizational goals.","A genuine passion for AI/ML and its transformative impact in biotech and pharma, along with a solid understanding of its role in advancing preclinical research. Bachelor’s degree in Computer Science, Data Science, AI/ML, Statistics, or a related discipline; an advanced degree is preferred. At least 10 years in data management, analytics, and AI/ML, including 2+ years in a leadership role. Additional experience in senior leadership is highly desirable. Ability to think strategically, foster innovation, and translate business needs into actionable data and AI/ML solutions that drive advancements in preclinical research and development. In-depth knowledge of AI/ML concepts, techniques, and technologies, including deep learning, neural networks, natural language processing, and predictive analytics. Proficient in AI/ML frameworks and tools. Proficient in programming languages, data analysis tools, and technologies used in data management. Exceptional communication and leadership abilities, capable of managing stakeholders and effectively explaining complex AI/ML concepts to non-technical audiences."
"IT Technical Expert","Decskill, founded in 2014 as an IT Consulting Company, places paramount importance on its greatest asset: its people. Our main mission is to deliver value through knowledge and talent, and we achieve this by fostering a culture of excellence and investing in the development and well-being of our people. With over 600 dedicated professionals and offices in Lisbon, Porto, Madrid, and Luxembourg, Decskill operates across three core areas: Decskill Talent: We believe that our people are key to our success. Through Decskill Talent, we empower our team to embrace the digital transformation challenges of our clients. We collaborate with clients to drive innovation, ensuring project success and business growth. Decskill Boost: Equipping our team with the latest tools and methodologies, we optimize Time-to-Market and deliver innovative solutions exceeding client expectations. Decskill Connect: Our team collaborates closely with clients to implement and manage IT infrastructures that generate long-term value. At Decskill, we believe that by nurturing and empowering our people to confront the challenges of digital transformation, we create value not only for our clients but also for our entire ecosystem, fostering a digital community dedicated to growth and progress. We are looking for an IT Technical Expert for a hybrid project based in Porto (2x/Week).","Technical expertise and proved experience in Dynatrace and Java Tech Lead to support application managers in their skills improvement on the different modules of the Dynatrace tool and to provide answers to questions and bring solutions. Global knowledge on IT, architecture-oriented and technical expertise to provide analyses and guidance that will lead to the right decisions; Fluency in French (highly valuable); English good level is mandatory (min C1)."
"Solutions Architect","As a Solution Architect, you’ll play a key role in: Defining Technical Guidelines and conducting Code Reviews. Crafting Reference Architectures and Development Blueprints. Engaging with customers to deliver tailored Energy Data Management (EDM) solutions. Managing devices, handling service requests, and overseeing Contract Billing and Invoicing. Integrating Salesforce CRM with SAP S/4 Utilities and executing Data Migrations. Leading implementations of Greenfield Models and creating seamless integration strategies. Analyzing SAP Fiori Apps, Embedded Analytics, and CDS Views.","Must-Have: 10–15 years of experience, with over 5 years in SAP S/4 Hana Solution Architecture and Project Implementation between Salesforce CRM and SAP S/4 Utilities. Expertise in Utilities Solutions, especially in Energy Commercialization. Data Migration from Microsoft Dynamics 365 to Salesforce CRM. Integrations between Salesforce and SAP S/4 Utilities. SAP S/4 Utilities Core System, including Master Data and Functional Modules. API Data Power and SAP PO 7.5 (Process Orchestration). Proficiency in Salesforce CRM Solutions and their functional modules. Fluency in English and Portuguese. Desirable Certifications: SAP S/4 Utilities or SAP ECC IS-U / CCS. Salesforce CRM - Utilities. Platform Expert SAP – Utilities Segment. Nice to Have: Experience with AWS Cloud Architecture (IAAS). Knowledge of ETL (Extract, Transform, Load) processes. Project Details Start Date: January 2025 Duration: 12 months Location: Lisbon (Hybrid)"
"Solutions Architect","Lead architecture initiatives from inception to completion, that align with business requirements, industry best practices and customer guidelines, ranging from open source custom development applications to low code/no code platforms, and their integration (through integration layers) with the overall customer ecosystem. Act as a guideline for the development and testing teams work of evolving existing and creating new platforms. Champion the adoption of reusable architecture assets to improve efficiency Produce documentation to aid in the understanding of existing architecture solutions","You must have:  Bachelor's degree in Computer Science, Engineering, or Mathematics 5+ years' of relevant experience Advanced knowledge of leading architecture solutions in the industry area Strong interpersonal and collaboration skills Ability to demonstrate technical concepts to non-technical audiences  Big Plus: Knowledge of telecommunications OSS/BSS. Availability to go to the office 1/2 times per week. European Union Citizenship or Portuguese Working Visa / Portuguese Residency."
"Divisional Head - Customer Care Europe","Lead & Develop Customer Care Teams: Lead and coordinate customer care teams across multiple locations in Europe, ensuring they provide high-quality service to customers. Hire, train and mentor customer service staff, ensuring they have the skills needed to provide excellent customer care. Standardizing and Optimizing Processes: Design, document, and standardize customer service processes to improve efficiency and consistency across different platforms. Driving Change and Improvements: Implement changes and continuous improvements in customer care operations, ensuring that the service teams operate efficiently and meet customer expectations. Managing SAP and Order-to-Cash (O2C) Processes: Ensure that customer service processes are integrated within the SAP system, specifically focusing on the Order-to-Cash cycle, which involves everything from order management to invoicing and payments. Analyzing Data and Performance: Monitor key performance metrics, analyzing data, and using insights to identify areas for improvement in customer care operations. Collaborating across Departments: Closely work with other departments like Sales, Finance, and Supply Chain to ensure that customer care aligns with overall business objectives.","Bachelor’s or Master’s degree in business administration, economics, or IT At least 8 years’ experience managing Customer Care teams in an international and matrixed organization CCXP certification is desired Excellent knowledge of SAP S4Hana & business rules Proficiency in the use of MS office High level of drive & customer focus Strong analytical mindset, capacity to structure and organize Digitally savvy and innovative mindset Proven experience in Project management (Agile) & Change Management Cross-functional collaboration and stakeholder management Proficient English language skills, any other European languages is a plus Ability to travel regularly across Europe"
"Head of Technology","Implementation of internal tools and custom software. Develop and implement automations, databases and dashboards. Ensure the scalability and reliability of the whole company’s technology stack. Stay tuned to emerging tools and trends, particularly in the AI field, to identify opportunities that could significantly impact and transform the business. Proactively evaluate, test, and implement new technologies to maintain a competitive edge and drive efficiency across operations. Lead and mentor a small team of 1–2 software engineers. Foster a culture of coding excellence, focusing on maintainable, tested, and high-quality code. Act as a bridge between technology and product, not only providing input but also taking ownership of product decisions when needed. Collaborate closely with C-level executives to align technology initiatives with business goals. Provide input on key technology decisions, balancing efficiency, scalability, and innovation. Drive strategic projects to keep the company agile and ahead of competitors. Proactively identify and resolve inefficiencies in current systems and workflows. Proactively manage technical debt to ensure long-term stability and scalability. Create detailed documentation and processes to streamline maintenance and onboarding.","What We’re Looking For: More than 3 years of proven experience in software development, ideally in a fast-growing or start-up environment. We value practical experience and a coding skills over formal educational titles. Someone with the ability to both code extremely well and get the most of a small, efficient engineering team. Expertise in building automations and integrating softwares. Strategic thinker capable of aligning technology with broader company goals. Experience in product development is a significant plus, with the ability to make independent product decisions when required. Passion for coding excellence and best practises. A proactive mindset, with a focus on agility and scalability in both product and technology. Key Skills: Excellent coding skills. Python, Javascript, React, CSS, HTML, SQL. Automations. Scripting, scrapping. Ownership. Problem-Solving. Operational Efficiency. Product development. Agility."
"GCP Technical Architect","Welcome to knowmad mood! We're pioneers in digital transformation, leveraging talent, technology, and business expertise to tackle market challenges with innovation and sustainability. Since 1994, we've been dedicated to adding value to over 500 clients worldwide. With a team of over 2,400 professionals across 7 countries – Spain, Italy, Portugal, the UK, the USA, Uruguay, and Morocco – we specialize in architecture, development, systems integration, and managed services projects. Join us as we drive digital evolution and champion best practices in the industry. We are seeking a GCP Technical Architect to work on a remote project, in Portugal.","For us, we would love if you have: - At least 3 years of experience in similar roles; - Experience with technologies related to Google Cloud (GCP, Apigee, Pub/Sub, etc.); - Associate Cloud Engineer Certification (Mandatory) or Associate Cloud Engineer (Preferred)."
"AWS AI Architect","What are we looking for? We want to add an AWS AI Architect to our team to take on the technical decision-making in projects within the scope of our Data & Intelligence CoE, working in initiatives for top-tier organizations.   We are looking for a professional who brings his knowledge and experience in artificial intelligence to be in charge of a growing group of consultants focused on:   Define a logical and cloud aware AI Platform framework/methodology. Build AI Platforms in AWS aligned with the logical version defined with GCP and Azure teammates. Transforming our customers’ business through artificial intelligence, building platforms for AI development, standardizing methodologies for development, training, deploying and inference in AI use cases. Facing challenges related to MLOps practices, provide resources and tools for Data Scientist, give them flexibility for model development and robust methodology to allow its productivization, train models in an unattended way, monitorize the model performance and generate retrain alarms.","What will you be accountable for?   Your responsibilities around NTT Data artificial intelligence services will be focused on the following fields of action: Project execution: ensuring the achievement of project/service goals from a technical perspective in terms of effectiveness, efficiency and customer satisfaction. Identifying team and resources needed to do so while ensuring proper management of scope, quality, risks, planning economic parameters, etc. Technical decision making. Hands-on technical skills AI Platform design and implementation allowing Data Scientist to work with. MLOps procedures and methodologies definition Keep updated with last AI solutions and tools on AWS"
"Artificial Intelligence Architect","Your future duties and responsibilities, Engage with clients and prospects to cultivate new business, and identify and qualify new business opportunities for AI solutions, Lead discovery and scoping phases of AI projects, gathering and analysing client requirements, data, and existing systems,  Design and present AI solutions and roadmaps, aligning with clients’ vision, objectives, and expectations,  Prepare content for proposals and participate within bid teams and structured proposal response processes, Work with business users, IT, and architects to complete data architecture and data management deliverables, Oversee a range of data engineering tasks, including modelling to support data visualisation, architecting data migrations, data quality tasks (including data cleansing), data governance workshops and completing data governance deliverables, Provide technical guidance to, and oversight of, AI delivery teams across CGI BU’s, supporting them to adhere to CGI’s management framework, best practices, standards, and methodologies,  Implement and integrate AI solutions, using the latest tools and technologies in the AI domain,  Conduct testing, debugging, and troubleshooting of AI solutions, ensuring quality, reliability, and performance,  Recommend post-deployment support and maintenance, as well as continuous improvement and optimisation of AI solution,  Stay abreast of the latest trends, developments, and innovations in the AI field, and share knowledge and insights with the internal and external communities,  Support evolution of CGI’s go to market strategies and direction to shape the future of our AI business,, Build the CGI brand, in particular our reputation for delivering difficult things well","Required qualifications to be successful in this role Qualifications, Skills and Experience, You will have a strong track record of technical leadership in complex digital transformation advising clients, writing, and winning work though competitive tendering processes. You should be able to demonstrate:, Technology industry experience and market knowledge across multiple client industry sectors, spanning new business and delivery roles, Experience designing and delivering AI/ML solutions, using techniques such as machine learning, deep learning, natural language processing, computer vision, etc,  Knowledge of multiple AI frameworks and platforms, such as TensorFlow, PyTorch, Keras, Azure AI, AWS AI, etc,  Knowledge of AI architectures, patterns, and best practices, such as microservices, RESTful APIs, data pipelines, etc,  Experience in data engineering, including data architecture, governance, migration, modelling, and master data management, Experience working with various data sources and formats, such as relational databases, NoSQL databases, JSON, XML, etc,  Experience in working with cloud-based environments and services, such as Azure, AWS, Google Cloud, etc,  Proficient in one or more programming languages, such as Python, R, Java, C#, etc. Competencies, Excellent communication, presentation, and interpersonal skills, with the ability to explain complex AI concepts and solutions to technical and non-technical audiences,  Strong problem-solving, analytical, and creative thinking skills, with the ability to handle ambiguity and uncertainty,  Established professional network with personal senior business contacts, Passionate about AI and its potential to transform businesses and society,  Experience of providing industry comment and perspectives relevant to multiple markets."
"Technical Consultant - Digital Identity","ACTIVITIES: You will be part of our digital identity team, supporting customers with defining, implementing and validating solutions in the digital identity domain. Performs billable work through defining and evaluating specifications, architecture, creating technical requirements, report writing, information analysis, testing and test management, (pre) auditing and other advisory services. Provides high- and low-level technical support to customers as directed. Works in technical projects within the market area to understand, define and meet customer needs. Responsible for the quality of project deliverables. Acts as a FIME ambassador in the customer environment.","JOB EXPERIENCE: Minimum of 2 years of experience within customer facing advisory services in the areas of IT or security; Experience in acting as a bridge between technical and business needs. KNOWLEDGE & SKILLS: Completed University Degree, preferably in Computer Science, Information Technology, Mathematics or a technically related discipline; Excellent communication and presentation skills; You have a positive mindset, being attentive to details and solutions-oriented; Fluency in English; Fluency in Dutch is a great advantage."
